[08-Apr-2021 18:21:12 UTC] PHP Fatal error:  Cannot redeclare myplugin_action_hook_example() (previously declared in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\mu-plugins\simple-example-plugin.php:22) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\mu-plugins\simple-example-plugin.php on line 27
[08-Apr-2021 19:00:20 UTC] PHP Fatal error:  Cannot redeclare myplugin_action_hook_example() (previously declared in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\simple-example-plugin\simple-example-plugin.php:22) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\simple-example-plugin\simple-example-plugin.php on line 27
[08-Apr-2021 19:01:15 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:01:15 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:02:00 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:02:00 UTC] PHP Fatal error:  Cannot redeclare myplugin_action_hook_example() (previously declared in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\simple-example-plugin\simple-example-plugin.php:22) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\simple-example-plugin\simple-example-plugin.php on line 27
[08-Apr-2021 19:02:00 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:02:01 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:02:01 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:02:01 UTC] PHP Fatal error:  Cannot redeclare myplugin_action_hook_example() (previously declared in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\simple-example-plugin\simple-example-plugin.php:22) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\simple-example-plugin\simple-example-plugin.php on line 27
[08-Apr-2021 19:02:02 UTC] PHP Fatal error:  Cannot redeclare myplugin_action_hook_example() (previously declared in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\simple-example-plugin\simple-example-plugin.php:22) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\simple-example-plugin\simple-example-plugin.php on line 27
[08-Apr-2021 19:02:39 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:03:40 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:04:50 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:05:50 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:06:51 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:08:51 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:10:51 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:12:51 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:14:51 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:24:16 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:24:16 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 34
[08-Apr-2021 19:24:21 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:24:21 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 34
[08-Apr-2021 19:24:48 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:24:48 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 34
[08-Apr-2021 19:24:48 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:24:48 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 34
[08-Apr-2021 19:24:52 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:24:52 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 34
[08-Apr-2021 19:26:53 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:26:53 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 34
[08-Apr-2021 19:26:54 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:26:54 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 34
[08-Apr-2021 19:26:57 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[08-Apr-2021 19:26:57 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 34
[09-Apr-2021 03:55:52 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[09-Apr-2021 03:55:52 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 34
[09-Apr-2021 03:55:53 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[09-Apr-2021 03:55:53 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 34
[09-Apr-2021 03:55:55 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[09-Apr-2021 03:55:55 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 34
[09-Apr-2021 03:56:36 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[09-Apr-2021 03:56:36 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 34
[09-Apr-2021 03:56:36 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[09-Apr-2021 03:56:36 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 34
[09-Apr-2021 03:56:50 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 19
[09-Apr-2021 03:56:50 UTC] PHP Warning:  Use of undefined constant _FILE_ - assumed '_FILE_' (this will throw an Error in a future version of PHP) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\activate-deactivate.php on line 34
[09-Apr-2021 03:56:54 UTC] PHP Fatal error:  Cannot redeclare myplugin_action_hook_example() (previously declared in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\simple-example-plugin\simple-example-plugin.php:22) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\simple-example-plugin\simple-example-plugin.php on line 27
[09-Apr-2021 03:56:56 UTC] PHP Fatal error:  Cannot redeclare myplugin_action_hook_example() (previously declared in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\simple-example-plugin\simple-example-plugin.php:22) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\simple-example-plugin\simple-example-plugin.php on line 27
[09-Apr-2021 03:56:56 UTC] PHP Fatal error:  Cannot redeclare myplugin_action_hook_example() (previously declared in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\simple-example-plugin\simple-example-plugin.php:22) in D:\Installed\xampp server\htdocs\mini-wp-plugin\wp-content\plugins\simple-example-plugin\simple-example-plugin.php on line 27
